id,query_n,artist,song,genre,similarity
7nlrtet64qvV65FT,query_1,Carpathian Forest,A Forest,"['black metal', 'norwegian black metal', 'metal', 'melodic death metal', 'electronica', 'new wave', 'post punk', 'new romantic', 'dark ambient', 'gothic rock', 'symphonic black metal', 'atmospheric black metal']",0.7999665949663077
mUsFYYxxJYNNiXt9,query_1,Skid Row,18 and Life,"['hard rock', 'rock', 'metal', 'classic rock', 'glam metal', 'glam rock']",0.7886984578746036
IASfo4axUh64qRtW,query_1,Skylar Spence,Private Caller,"['vaporwave', 'future funk']",0.7857157796565486
b660hryv7iX10lqa,query_1,Frank Zappa,My Guitar Wants to Kill Your Mama,"['progressive rock', 'rock', 'classic rock', 'psychedelic rock', 'experimental rock', 'experimental', 'blues', 'avant garde', 'rhythm and blues', 'avant garde jazz', 'jazz', 'alternative rock', 'hard rock', 'blues rock', 'funk', 'garage rock', 'jam band', 'halloween', 'art rock', 'acid rock']",0.7843643357936949
yhpTlaoFlj6GAKdN,query_1,Jamie Woon,Shoulda,"['soul', 'experimental', 'dubstep', 'ambient', 'singer songwriter', 'electronica', 'indie pop', 'dream pop', 'r b', 'deep house', 'art pop']",0.782115549541597
2WpP3K6hVKeITVvv,query_1,Carrie Underwood,Kingdom,"['country', 'pop', 'country pop']",0.7781976016432764
pcVAeUhGhpZrEZLb,query_1,Little Joy,Don't Watch Me Dancing,"['alternative rock', 'indie pop', 'rock', 'folk', 'indie rock', 'samba', 'beach music']",0.7780525635530277
B3b1kht8dULMMLyd,query_1,The Rifles,The Great Escape,"['indie rock', 'britpop', 'rock', 'pop', 'alternative rock', 'indie pop']",0.7768387219236917
33Dmw7IfH4587uMq,query_1,Talking Heads,Heaven - Live,"['rock', 'new wave']",0.7763008118795822
WaBL1RvQlFOF4KVn,query_1,Céline Dion,I'm Alive,"['pop', 'easy listening', 'soundtrack', 'dance pop', 'rock', 'soul', 'samba', 'hip hop', 'emo', 'singer songwriter', 'pop rock', 'soft rock']",0.7747921815140797
5wVmcGeuTgttH5E1,query_1,Grace Jones,This Is Dub,['dub'],0.7739828284382745
hq6ofGKCsWAX4XUp,query_1,Muse,Forced In,"['rock', 'alternative rock', 'experimental', 'pop', 'space rock', 'progressive rock', 'jazz', 'punk', 'post rock', 'britpop', 'trip hop', 'avant garde', 'atmosphere', 'indie pop', 'indie rock', 'industrial', 'drum and bass', 'art rock', 'sleep', 'psychedelic rock', 'rain']",0.7738981188498221
0MXDGjV7Qg5AEpGu,query_1,The Vines,In the Jungle,"['rock', 'indie rock', 'alternative rock', 'grunge', 'garage rock', 'punk', 'emo', 'hard rock', 'ska']",0.7727516365531025
R4pWohpf8CTNL1Ml,query_1,Billie Holiday,Love Me or Leave Me,"['jazz', 'vocal jazz', 'blues', 'swing']",0.7721046622651776
pPJlbWGF7oiXCpyb,query_1,Thalía,Noches Sin Luna,"['latin pop', 'pop', 'latin', 'gypsy', 'mexican pop']",0.7720762726574608
QlwiTDUXdw6TlKMf,query_1,Big Mountain,Baby I Love Your Way,"['reggae', 'pop', 'lovers rock', 'soundtrack', 'easy listening']",0.771346953012066
A0KFVSx2sCgrslZw,query_1,Bokka,Town Of Strangers,"['electropop', 'chamber pop', 'alternative pop', 'art pop']",0.7713301962099501
0VaYUih1vEXMP6m7,query_1,Sonic Youth,Hey Joni,"['alternative rock', 'rock', 'noise rock', 'post punk', 'noise', 'experimental', 'indie rock', 'grunge', 'experimental rock', 'no wave', 'punk', 'avant garde', 'garage punk', 'classic rock', 'metal', 'singer songwriter', 'spoken word', 'garage rock']",0.7710199567020816
Kgiu2ovOND7HCZBl,query_1,Maria Rita,Cara Valente,"['bossa nova', 'mpb', 'samba', 'latin', 'ambient', 'pop', 'downtempo', 'lounge', 'latin pop', 'chill out', 'samba jazz']",0.7705485545223081
CUTLkOkFdyabaBcU,query_1,Catedral,Eu quero sol nesse jardim,['rock nacional'],0.7704438022542472
LZI7G5GNQShBvuXT,query_1,Dokken,Kiss of Death,"['hard rock', 'metal', 'rock', 'power metal', 'melodic metal', 'glam metal']",0.7704317028409041
oKyIMJNezbA5YSa4,query_1,PUFFY,Hi Hi Puffy AmiYumi Show Theme,"['j rock', 'cartoon', 'beach music']",0.7696679267627782
Xfq4FrvagN2XWrwq,query_1,Tori Amos,Precious Things,"['singer songwriter', 'rock', 'alternative rock', 'pop', 'piano rock', 'soft rock', 'classic rock', 'folk', 'experimental', 'art rock', 'ambient', 'indie pop', 'post rock']",0.76929177344964
V9Vcb4IFSD0nGscE,query_1,Shalamar,Make That Move,"['disco', 'soul', 'funk', 'pop', 'jazz funk', 'post disco', 'classic soul']",0.7691399670243055
iPwlfM8JgRDQK6Zm,query_1,The Kills,Baby Says,"['indie rock', 'rock', 'garage rock', 'pop', 'alternative rock', 'garage rock revival']",0.7689326556768236
7YUu0uDtV3y8I3em,query_1,Taylor Swift,Fifteen,"['country', 'pop', 'country pop', 'singer songwriter', 'hip hop', 'teen pop', 'folk', 'rap', 'pop rock', 'world', 'alternative country', 'disney', 'anthem']",0.7688107961850138
oXpdQJTpASLJfFvM,query_1,En Vogue,Beat of Love,['soul'],0.7685696652701771
UT4kkMWMoCPe7nvA,query_1,Bob Dylan,Tomorrow Is a Long Time,"['folk', 'rock', 'classic rock', 'singer songwriter', 'folk rock', 'lo fi', 'poetry', 'lullaby']",0.7682742479468225
K3UlgXW5CaIFQRAQ,query_1,Belanova,"One, Two, Three, GO!","['pop', 'latin pop', 'electronica', 'latin', 'synthpop', 'electropop', 'rock', 'singer songwriter', 'electro', 'pop rock', 'dance pop', 'rock en espanol', 'latin rock', 'riot grrrl', 'electronic rock']",0.7681447364911391
dVDEpkspD5rACPk2,query_1,Mountain,Theme For An Imaginary Western,"['classic rock', 'hard rock', 'rock', 'blues rock', 'southern rock', 'psychedelic rock', 'acid rock']",0.7680051124862489
SsZpeQ0ij6ANQW4e,query_1,Swans,Screen Shot,"['post rock', 'noise rock', 'experimental', 'post punk', 'progressive rock']",0.7677140066270536
ZTJbAtaY4EFPruTk,query_1,Howlin' Wolf,Wang Dang Doodle,"['blues', 'chicago blues', 'electric blues', 'rhythm and blues', 'soul', 'delta blues', 'rock', 'world', 'blues rock']",0.7675377819425545
I6GIwClrEQGcZ3Jg,query_1,Ozzy Osbourne,Waiting For Darkness,"['hard rock', 'metal', 'classic rock', 'rock', 'stoner rock', 'doom metal', 'pop', 'stoner metal']",0.7666538107118475
29aiuKxb44XIiRZ3,query_1,Electric Light Orchestra,Roll Over Beethoven,"['classic rock', 'rock', 'progressive rock', 'symphonic rock', 'rock and roll', 'pop', 'art rock', 'pop rock', 'classical', 'rockabilly', 'boogie', 'alternative rock', 'experimental', 'hard rock', 'new wave', 'violin', 'blues rock', 'rhythm and blues']",0.7660165393606827
JswSrxldYzKXcABe,query_1,Suffocation,Prelude To Repulsion,"['death metal', 'brutal death metal', 'technical death metal', 'metal', 'technical brutal death metal', 'new york death metal']",0.7654450878450664
8dw9bKWeq2ByiFJ5,query_1,Bryson Tiller,Don't,"['trap', 'hip hop', 'soul']",0.7654158560344754
zLAHHVG1ajV9Ttk2,query_1,10 Years,Wasteland,"['alternative rock', 'rock', 'hard rock', 'alternative metal', 'punk', 'grunge', 'classic rock', 'metal', 'progressive metal', 'post grunge', 'nu metal', 'black metal', 'soul', 'emo', 'soft rock', 'thrash metal', 'southern rock', 'symphonic black metal', 'melodic hard rock']",0.7653518231042415
9U37XRgnKeQNBKkB,query_1,Selena Gomez & The Scene,Spotlight,"['pop', 'electronica', 'disney']",0.7653370270901609
x2udXvrt0a982gcR,query_1,tricot,Munasawagi,"['rock', 'math rock', 'j rock']",0.7652453202181216
ZwoRE59igYTPCi41,query_1,Class Actress,Movies,['dream pop'],0.7651276514622432
B2Ow0wihFKp7lcvp,query_1,Hood,They Removed All Trace That Anything Had Ever Happened Here,"['post rock', 'indietronica', 'electronica', 'glitch', 'rock', 'ambient', 'experimental', 'experimental rock']",0.7649261997455936
Wh2R5KG2dUjc0Vo2,query_1,Yuck,Southern Skies,"['rock', 'indie pop']",0.7647107320052066
kwVC7UCkaNUswXaw,query_1,Seether,Same Damn Life,"['rock', 'alternative rock', 'hard rock', 'post grunge']",0.7645498621077563
pL1Qnfj8IPjKrzXu,query_1,Dolly Parton,Why'd You Come in Here Lookin' Like That,"['country', 'singer songwriter', 'pop']",0.7637541716450817
4vPCXVXHeoXkniz9,query_1,Cássia Eller,Obrigado (Por Ter Se Mandado),['rock nacional'],0.7631378071160515
SEKWAadQkV8v3i49,query_1,Korn,Cameltosis,"['nu metal', 'alternative metal', 'rock', 'metal', 'alternative rock', 'rap metal', 'hard rock', 'hip hop', 'rap', 'alternative hip hop', 'rap rock']",0.763018390648985
37jPkefEWfJd234l,query_1,Client Liaison,Pretty Lovers,['synthpop'],0.7627972987111724
KxryDZFfi0mkMMiM,query_1,Muse,Starlight,"['alternative rock', 'rock', 'progressive rock', 'indie rock', 'britpop', 'pop', 'space rock', 'piano rock', 'pop rock', 'emo', 'easy listening', 'electronica', 'hard rock']",0.762164637035027
nER0NWWVKbazK90v,query_1,Leona Lewis,I Will Be,"['pop', 'soul', 'rock', 'hard rock', 'singer songwriter', 'pop rock', 'easy listening', 'world', 'britpop', 'r b', 'drama']",0.7615809528511773
1PMNW9sRMoFJVfU3,query_1,Magic!,Let Your Hair Down,"['pop', 'reggae', 'hawaiian', 'reggae fusion']",0.76132511818562
3x0r2GzzzL4kYJYb,query_1,The Maine,Everything I Ask For,"['alternative rock', 'pop punk', 'rock', 'punk', 'pop rock', 'pop', 'emo', 'power pop', 'indie rock']",0.7613067431896692
GlCxKUq2124zirRO,query_1,Gojira,The Gift of Guilt,"['progressive death metal', 'progressive metal', 'death metal', 'groove metal', 'metal', 'technical death metal', 'melodic death metal', 'thrash metal']",0.7612423986733661
xeUNHwOZoqNrQS0f,query_1,Death Cab for Cutie,Talking Bird,"['indie rock', 'rock', 'shoegaze', 'downtempo', 'pop rock', 'pop', 'alternative rock', 'dream pop']",0.7610769962233094
tTTB02zXLvB6B8Yn,query_1,Edenbridge,Higher,"['symphonic metal', 'power metal', 'gothic metal', 'symphonic rock', 'metal', 'melodic metal', 'symphonic power metal']",0.7610369613039278
kNjGLH3TsdTQJyGT,query_1,Fad Gadget,Swallow It,"['new wave', 'post punk', 'avant garde', 'synthpop', 'minimal synth']",0.7608415130974661
6RqYGJ4HLFTDPL6f,query_1,Tim Buckley,Carnival Song,"['folk', 'singer songwriter', 'folk rock', 'classic rock', 'psychedelic folk', 'chanson', 'rock', 'experimental rock', 'easy listening', 'circus']",0.7606481512366904
MPbTPV2pUgDvLWWp,query_1,LMFAO,Sorry for Party Rocking,"['electropop', 'pop', 'hip hop', 'electronica', 'rap', 'easy listening', 'crunk', 'comedy', 'dance pop']",0.7604387119590872
BHD2s75iuFKhHQEe,query_1,Sonic Youth,Sleepin' Around,"['rock', 'indie rock', 'experimental', 'alternative rock', 'noise rock', 'noise', 'lo fi', 'post punk', 'grunge', 'experimental rock', 'no wave']",0.7603247910151302
RsYjLxoQ2TTahxSx,query_1,Steely Dan,The Caves Of Altamira,"['jazz rock', 'rock', 'classic rock', 'jazz', 'progressive rock', 'jazz fusion', 'smooth jazz', 'soft rock']",0.7600531403072178
rJZHW0CqgJfx7raC,query_1,will.i.am,Smile Mona Lisa,"['hip hop', 'classical', 'baroque', 'pop']",0.759988924785302
0Wc7JGEjjUDM4vp2,query_1,Gregory Alan Isakov,Fire Escape,['folk'],0.759569813444582
jj54uH9K3Fzvqtma,query_1,Ariana Grande,Honeymoon Avenue,"['pop', 'soul', 'r b', 'doo wop']",0.7594520943563657
46YSASvaptitJROM,query_1,Bigbang,BEAUTIFUL HANGOVER,"['k pop', 'j pop', 'korean pop', 'boy band']",0.7589897640439593
