id,query_n,artist,song,genre,similarity
292O6dgyllt1CLjf,query_1,Father John Misty,Now I'm Learning to Love the War,"['rock', 'folk', 'indie rock', 'singer songwriter', 'country rock']",0.979294750518089
2yplse7inSaOiBgM,query_1,Xiu Xiu,Hyunhye's Theme,"['experimental', 'indie rock', 'noise', 'indie pop', 'avant garde']",0.9773696048742616
eZRZJrGFC45RYGYU,query_1,Elysion,Killing My Dreams,"['gothic metal', 'metal', 'gothic rock', 'symphonic metal']",0.976697747925054
qx856tJyAiQXXbeu,query_1,Luiz Melodia,Memórias Modestas,"['world', 'latin']",0.9765876454787934
Iu8G75bCsdyXIiIe,query_1,Ney Matogrosso,As Rosas Não Falam,"['bossa nova', 'mpb', 'samba', 'soul', 'world']",0.9758853319150734
6QLJJqMmlkrsa8pz,query_1,Jessica Simpson,Let Him Fly,"['pop', 'country', 'dance pop', 'teen pop', 'pop rock']",0.9758819441222495
D0AdTflgurMzFo8y,query_1,Maroon 5,Daylight,"['pop', 'rock', 'pop rock', 'alternative rock', 'soft rock', 'afrobeat', 'pop punk']",0.9757951924640692
OkMyyoU8miAyCSac,query_1,The Young Veins,Nothing Matters But You,['indie rock'],0.975790459593381
Il4JempJ0dxcVphD,query_1,Mallu Magalhães,Te Acho Tão Bonito,['mpb'],0.9757248668245517
1XWVVvhUWhjBTVBH,query_1,Chico Buarque,Sinhá,['mpb'],0.9756034488124793
TJgQfRIekiCxqeXq,query_1,Camila,Sólo Para Ti,"['pop', 'latin', 'latin pop', 'rock', 'pop rock', 'rock en espanol', 'mexican pop']",0.9754892679256876
KDlGm2WXdxgHo3gm,query_1,The Deep Dark Woods,The Place I Left Behind,"['banjo', 'folk']",0.975468587133456
68x5eRBGjbyhU4Ji,query_1,Usher,Intro,"['hip hop', 'soul', 'pop', 'r b']",0.9752743021891671
eroCtRu0ruQbP71L,query_1,Skip James,Hard Time Killin' Floor Blues,"['blues', 'delta blues', 'folk', 'acoustic blues']",0.9752066590793579
jR21UT5IJF7I5dq9,query_1,Julia Jacklin,Sweet Step,"['alternative rock', 'indie rock', 'singer songwriter', 'pop rock']",0.974882595285945
BMEAx3O2KO1Ggpml,query_1,Paul Simon,Adios Hermanos,"['singer songwriter', 'rock', 'folk', 'soundtrack', 'pop', 'world', 'classic rock', 'soft rock', 'folk rock', 'doo wop']",0.9748262075535484
KbNqFabcrHueyTt2,query_1,Maverick Sabre,I Need,"['soul', 'r b', 'neo soul']",0.9747616210365307
aHlbJEvldwtyzLqz,query_1,Sibylle Baier,The End,"['folk', 'singer songwriter', 'indie folk', 'lo fi', 'slowcore', 'dark folk']",0.9746061064748515
