id,query_n,artist,song,genre,similarity
CzNhEFuaMObkzmcs,query_1,The Magnetic Fields,Epitaph for My Heart,"['indie pop', 'rock', 'soundtrack', 'classic rock', 'pop', 'indie rock', 'twee pop', 'singer songwriter', 'lo fi', 'baroque pop', 'new weird america']",0
man5sVzutoZFT7Y2,query_1,Cher,Hey Joe,"['pop rock', 'pop', 'rock', 'country', 'baroque pop']",0
QimB1FQoSlWuW3NJ,query_1,Roxette,Sleeping In My Car - Single Version,['pop rock'],0
TJEZRnDFfAOvH5lr,query_1,Los Planetas,Qué Puedo Hacer,['power pop'],0
6AD5u5UbiJLKReOm,query_1,Criolo,Menino Mimado,['samba'],0
1cyfUPFQk1JSdRRw,query_1,The Mountain Goats,The Grey King and the Silver Flame Attunement,['hardcore'],0
srsns1RKo2wyyDzL,query_1,San Cisco,Reckless,"['indie pop', 'alternative pop']",0
MBvrRnbK5666FPvz,query_1,Massive Attack,Live With Me,"['trip hop', 'downtempo', 'electronica', 'blues', 'ambient', 'soul', 'chill out', 'lounge', 'electro', 'experimental', 'pop', 'psychill']",0
tLb6xzRxNJJWAJvM,query_1,Meghan Trainor,Let You Be Right,"['pop', 'disco', 'edm', 'nu disco']",0
Bl3OhJrv5SiWoX4u,query_1,Benito Di Paula,Do Jeito Que A Vida Quer,"['jovem guarda', 'mpb']",0
VtF32nX4mmVRGMEj,query_1,The Neighbourhood,Sweater Weather,"['indie rock', 'alternative rock', 'pop', 'rock', 'indie pop', 'pop rock', 'world', 'lounge', 'alternative pop']",0
cSWWukAV3ISmlIrr,query_1,Hollywood Undead,Mother Murder,"['alternative rock', 'rock', 'alternative metal', 'nu metal', 'rap rock']",0
bV8NArWItH1DecC7,query_1,LeAnn Rimes,Blue,"['country', 'pop', 'blues', 'contemporary country', 'rock', 'folk', 'singer songwriter', 'country pop']",0
8ZMBrYwoowaB2RdI,query_1,Tears for Fears,Everybody Wants to Rule the World (Urban mix),"['pop', 'rock', 'new wave']",0
