id,query_n,artist,song,genre,similarity
4r1IjzqHAOYQlgfS,query_1,Eminem,Fall,"['rap', 'hip hop']",0.4515086590076113
2wpBAJJvohmYlNLa,query_1,The Wombats,Here Comes The Anxiety,"['indie rock', 'rock', 'alternative rock', 'pop rock', 'disco', 'punk', 'indie pop', 'new wave', 'britpop', 'post punk', 'garage rock']",0.43912784642980757
iiDE169ZjdsoAiiW,query_1,Gal Costa,O Gosto Do Amor,['baiao'],0.4148768601535162
fpspvnC1jELCCN1C,query_1,Junior Senior,Move Your Feet,"['pop', 'electronica', 'dance pop', 'disco', 'electropop', 'house', 'indie pop', 'rock', 'electro', 'funk', 'nu disco', 'trance', 'eurodance']",0.3964589214342728
QcicK0XeswBkK16t,query_1,Estopa,La Raja De Tu Falda,"['pop', 'rumba', 'rock', 'spanish pop', 'flamenco']",0.38913817775661436
yFW0KNy8lvqf3rK7,query_1,Third Eye Blind,Monotov's Private Opera,"['rock', 'alternative rock', 'hard rock']",0.38868747216962557
FkZLYDfhHwgvd6Qx,query_1,Boyzone,Picture of You,"['pop', 'soundtrack', 'latin', 'boy band']",0.37836724342803213
h0Jaex0Pdbn3aVXv,query_1,Green Day,Wake Me Up When September Ends,"['rock', 'punk', 'pop punk', 'alternative rock', 'pop', 'emo', 'indie rock', 'hard rock', 'pop rock', 'singer songwriter', 'alternative pop rock', 'screamo']",0.3721009000049057
rXH5BNYLNrqLzR0Y,query_1,Breathe Carolina,Blackout,"['electropop', 'emo', 'screamo', 'electronic rock', 'pop', 'synthesizer', 'dance pop', 'synthpop', 'dubstep', 'electro', 'new wave', 'electro house', 'emocore', 'complextro', 'electronicore']",0.36622775935137325
3ZqnBypsQP9ukEiQ,query_1,Só Pra Contrariar,Essa Tal Liberdade,"['samba', 'pagode']",0.36620804749909774
SKNfHOjz6hZGySM3,query_1,Slipknot,Nomadic,"['metal', 'nu metal', 'rock', 'alternative rock', 'alternative metal']",0.35840023340998045
rc8PYpsvaD5ZdZAx,query_1,Owl City,Plant Life,"['synthpop', 'ambient', 'pop', 'indie pop', 'alternative pop']",0.35811441797027443
IaUNDt4bbBuoFlv8,query_1,The Who,My Generation,"['classic rock', 'rock', 'hard rock', 'british invasion', 'punk', 'pop', 'garage rock', 'psychedelic rock', 'rock and roll', 'anthem', 'soundtrack', 'alternative rock']",0.35415543066506144
9ox1pk272hWvSeHT,query_1,Nickelback,AFTER THE RAIN,['rock'],0.3497404339667472
Uy5xK73hD1cbXqz3,query_1,Otis Redding,Nobody Knows You (When You're Down and Out),"['soul', 'memphis soul', 'southern soul', 'quiet storm', 'focus', 'drama']",0.34933060057741133
uL5kFsbasUWPMvHE,query_1,Turmion Kätilöt,IHMISIXSIXSIX,"['industrial metal', 'metal', 'industrial']",0.3493003581710703
qkp08HN79XT9hQIB,query_1,Talking Heads,Love for Sale,"['new wave', 'rock', 'alternative rock', 'classic rock', 'punk', 'post punk', 'pop', 'hard rock']",0.34807004881291015
TldR6asTrHvwsddp,query_1,BTS,EPILOGUE: Young Forever,"['k pop', 'hip hop', 'pop', 'rap', 'pop rap', 'boy band']",0.34559415453717146
mEe03Im71f52kg6U,query_1,Reik,No Se Si Es Amor,"['latin', 'house', 'latin pop']",0.3447705953938064
vQdf4tuaxtF73hKF,query_1,Kane Brown,Good as You,['country'],0.34134598051129594
X77yQ5Ou8gAv1iFe,query_1,Franz Ferdinand,Glimpse of Love,['pop rock'],0.34040712963265235
ZyxB4pFxGdGMoBQ2,query_1,RX Bandits,Epoxi-Lips,"['progressive rock', 'ska', 'reggae', 'ska punk', 'pop', 'rock', 'experimental']",0.33654623531813954
5XRiNCJtOEXQlIHk,query_1,A Day to Remember,Homesick (acoustic),"['pop punk', 'post hardcore']",0.33465989350590397
WuBjy1BCuy6trDX0,query_1,Current 93,Patripassian,"['ambient', 'experimental', 'neofolk', 'industrial', 'spoken word', 'dark ambient', 'choral', 'drone', 'meditation']",0.33390739009620984
mumfFTrnPMaTm4u0,query_1,Sam Hunt,Single for the Summer,['country'],0.33321050517212225
TNAiWEBweQSLEdAo,query_1,Donavon Frankenreiter,What'cha Know About,"['surf music', 'rock', 'singer songwriter', 'folk', 'easy listening', 'soft rock', 'folk pop', 'acoustic rock', 'acoustic pop']",0.3328013104441417
uzc0Dxua4GvwTE6h,query_1,Yellowcard,Empty Apartment,"['rock', 'pop punk', 'emo', 'punk', 'alternative rock', 'violin', 'metalcore', 'indie rock', 'screamo', 'pop', 'hardcore', 'hard rock', 'pop rock', 'emo punk']",0.3318038555489878
zuoO1Uw4sHUDE1Vl,query_1,Juan Gabriel,No Tengo Dinero,['banda'],0.3282834235296341
0qp2KyXH2ustSNci,query_1,Naughty By Nature,O.P.P,"['hip hop', 'rap', 'rock', 'soul', 'funk', 'jazz', 'pop', 'disco', 'classic rock', 'nu jazz', 'metal', 'bossa nova', 'alternative rock', 'reggae', 'emo', 'folk', 'experimental', 'hard rock', 'downtempo', 'singer songwriter', 'new wave', 'motown', 'psychedelic soul', 'funk metal', 'jazz funk', 'latin', 'blues', 'techno', 'house', 'acid jazz', 'lounge', 'jazz fusion', 'contemporary jazz', 'trip hop', 'broken beat', 'r b', 'breakbeat', 'meditation', 'smooth jazz', 'rave', 'modern funk', 'rhythm and blues']",0.3281684500780915
uKm4apMqp6utzPQG,query_1,Roberto Carlos,Amigo,"['mpb', 'romantico', 'jovem guarda', 'latin', 'forro', 'world']",0.3261516370318601
Lk2xlxBd7CjUYutO,query_1,Trey Songz,Bottoms Up (feat. Nicki Minaj),"['hip hop', 'rap', 'medieval', 'r b']",0.32467811221706994
w27Z0tEdYFJJVg86,query_1,Nickelback,I'd Come for You,"['rock', 'alternative rock', 'hard rock', 'pop rock', 'pop', 'grunge', 'post grunge', 'garage rock']",0.3229616435914422
