id,query_n,artist,song,genre,similarity
FrQpwvVF1fwzNps7,query_1,RuPaul,Get Your Rebel On,"['pop', 'dance pop', 'synthpop']",0.9405853357764191
qUkFjTESBWgMVveZ,query_1,A Tribe Called Quest,Award Tour,"['hip hop', 'rap', 'underground hip hop', 'old school hip hop', 'jazz', 'funk', 'jazz rap', 'jazz fusion', 'alternative hip hop', 'east coast hip hop', 'soul', 'blues', 'avant garde']",0.9385202956148551
0qp2KyXH2ustSNci,query_1,Naughty By Nature,O.P.P,"['hip hop', 'rap', 'rock', 'soul', 'funk', 'jazz', 'pop', 'disco', 'classic rock', 'nu jazz', 'metal', 'bossa nova', 'alternative rock', 'reggae', 'emo', 'folk', 'experimental', 'hard rock', 'downtempo', 'singer songwriter', 'new wave', 'motown', 'psychedelic soul', 'funk metal', 'jazz funk', 'latin', 'blues', 'techno', 'house', 'acid jazz', 'lounge', 'jazz fusion', 'contemporary jazz', 'trip hop', 'broken beat', 'r b', 'breakbeat', 'meditation', 'smooth jazz', 'rave', 'modern funk', 'rhythm and blues']",0.9374676080535426
PwTLKKsM34cgBDDm,query_1,Zebrahead,Up in Smoke,"['pop punk', 'rap rock']",0.9369637218542091
jybxjKBDKZjKsXNh,query_1,Calvin Harris,Feels,"['pop', 'ska', 'dance pop', 'funk', 'nu disco']",0.936825135574718
fpspvnC1jELCCN1C,query_1,Junior Senior,Move Your Feet,"['pop', 'electronica', 'dance pop', 'disco', 'electropop', 'house', 'indie pop', 'rock', 'electro', 'funk', 'nu disco', 'trance', 'eurodance']",0.9364378663986825
2K0JDCBAlEvRXqrl,query_1,dEUS,Everybody's Weird,"['rock', 'alternative rock', 'indie rock', 'experimental', 'dub', 'indietronica', 'alternative dance', 'art pop']",0.9348333038401451
3ThxO5Q3A29V2vnd,query_1,Skepta,Lyrics,"['hip hop', 'grime']",0.9342414146080353
8GmcQtqYZKj7TSFx,query_1,SUPERFRUIT,Sexy Ladies,"['pop', 'soul']",0.9320746562725329
RJUjLrAkXV2Jj3qH,query_1,Jason Derülo,Ridin' Solo,"['pop', 'hip hop', 'r b', 'techno', 'rap', 'disco', 'singer songwriter', 'rhythm and blues']",0.9318309184397998
boklYP26HbQAPVAD,query_1,The Libertines,Radio America,"['rock', 'indie rock', 'britpop', 'alternative rock', 'garage rock', 'punk', 'garage rock revival', 'folk', 'post punk', 'acoustic rock']",0.9310535752972046
LN00sO8Hi5Vc1Za6,query_1,Take That,Hey Boy,['pop'],0.9308510516684338
SRlTlGwah1JFS3SW,query_1,Cheek,Liekeissä,"['rap', 'hip hop', 'suomirap']",0.930580134675319
MFk96PpHAyUilozX,query_1,Owl City,Speed Of Love,['pop'],0.9299526885684191
