id,query_n,artist,song,genre,similarity
RSTYgq2fPUPHcqZu,query_1,Porcupine Tree,The Sound of Muzak,"['progressive rock', 'rock', 'psychedelic rock', 'progressive metal', 'experimental', 'alternative rock', 'experimental rock', 'ambient', 'space rock', 'art rock', 'indie rock']",0.6766724791678412
Bu6d3T8jRnCZqmk4,query_1,Vanessa Hudgens,Identified,"['pop', 'disney']",0.47194954558545005
aEiRVX9CqdqoYi3n,query_1,Women,Penal Colony,"['dream pop', 'rock', 'indie rock', 'lo fi', 'easy listening', 'psychedelic pop']",0.41910700150655716
V0z5GQapukFBYbFs,query_1,Village People,YMCA,"['disco', 'pop', 'rock', 'classic rock', 'punk', 'soft rock', 'funk', 'metal', 'electronica', 'hard rock', 'pop rock', 'blues', 'post punk', 'drum and bass', 'comedy', 'synthesizer', 'dance pop', 'power metal']",0.4048388150841089
26qIUXwV1F6xBcvK,query_1,The Ting Tings,We Started Nothing,"['pop', 'electropop', 'rock', 'indie pop', 'electronica', 'electro', 'new wave', 'pop rock', 'britpop', 'new rave', 'synthpop', 'dance punk', 'indie rock', 'beats', 'alternative pop', 'soundtrack', 'disco', 'funk', 'indietronica', 'rhythm and blues', 'chill out', 'electronic rock', 'indie pop rock']",0.3826081499073198
oucCp5SxhArE9VBY,query_1,Birdy,Maybe,"['indie pop', 'pop', 'folk']",0.33248960020246365
IsTO1rHFpSE93xls,query_1,Alicia Keys,The Gospel,"['hip hop', 'jazz', 'soul', 'rap', 'gospel', 'jazz rap']",0.3235827918245
gyCLdzHbtQfwaliq,query_1,Talk Talk,Dum Dum Girl,"['new wave', 'synthpop', 'pop', 'rock', 'new romantic', 'britpop', 'electronica', 'alternative rock', 'post rock', 'singer songwriter', 'post punk', 'wave', 'art pop']",0.32199436795813696
CUTLkOkFdyabaBcU,query_1,Catedral,Eu quero sol nesse jardim,['rock nacional'],0.3204173659380157
NclzK9ZochRXmlda,query_1,Foster the People,Worst Nites,"['rock', 'indie pop']",0.31733574582018614
Qb07FJRtC2kCGN52,query_1,Laura Pausini,Como si no nos hubiéramos amado,"['pop', 'singer songwriter']",0.31589475987448984
TAttNMXzMbGCYjIE,query_1,Weyes Blood,In The Beginning,"['pop', 'alternative rock', 'alternative pop', 'art pop']",0.31024693666983355
wk2mlQ9vmgj2b9On,query_1,Rammstein,Adios,"['industrial metal', 'metal', 'industrial', 'rock', 'industrial rock', 'hard rock', 'alternative metal', 'german rock', 'german metal', 'gothic metal', 'nu metal']",0.29451212494573087
CH5EAX3a0hhBHjTL,query_1,Sade,I Would Never Have Guessed,"['soul', 'smooth jazz', 'neo soul']",0.2938880313930141
Lc2PRwM0FYxpjpIH,query_1,*NSYNC,Just Don't Tell Me That,"['pop', 'easy listening', 'soft rock', 'boy band']",0.29313024503828194
A0KFVSx2sCgrslZw,query_1,Bokka,Town Of Strangers,"['electropop', 'chamber pop', 'alternative pop', 'art pop']",0.29095975410811425
o6azoloSV4Wcjx1n,query_1,Black Moth Super Rainbow,Forever Heavy,"['indietronica', 'trip hop', 'post rock', 'rock', 'electronica', 'ambient', 'experimental', 'electro', 'lo fi', 'psychedelic pop', 'new weird america', 'psychedelic rock']",0.2908322717719117
SYbGUSlh5oeTrjex,query_1,Maria Rita,Mal Intento,"['mpb', 'pop', 'latin', 'jazz', 'bossa nova', 'contemporary jazz', 'latin pop']",0.28819616719779245
SKNfHOjz6hZGySM3,query_1,Slipknot,Nomadic,"['metal', 'nu metal', 'rock', 'alternative rock', 'alternative metal']",0.2848700061875589
8CPowtpkQZDWbe4e,query_1,Within Temptation,Dog Days,"['symphonic metal', 'metal']",0.2797797993654181
Va7m59PuAzNti3VZ,query_1,Westlife,More Than Words,"['pop', 'pop romantico', 'jazz', 'soul', 'easy listening', 'folk rock']",0.27698206062044733
ZHIKHfLyTuRzAcDU,query_1,Martinho Da Vila,"Canta Canta, Minha Gente","['samba', 'pagode', 'mpb']",0.273744448797546
UxohDYRq1kcMVCMn,query_1,Ugly Casanova,Barnacles,"['indie rock', 'rock', 'lo fi', 'indie pop', 'indie folk', 'electronica', 'folk', 'experimental']",0.2718887091732682
1Ro6zcwKhJC8ISwi,query_1,Reykon,Mala,['reggaeton'],0.26936302561423464
hFBwWlfhBbw9jKXV,query_1,Midlake,Children Of The Grounds,"['rock', 'psychedelic folk', 'folk rock', 'folk', 'progressive rock', 'psychedelic rock']",0.26900998735607967
i8cBeEX557i50W5i,query_1,Shawn Mendes,I Know What You Did Last Summer,['pop'],0.2662618132517215
Rn42tBeCD1oanZfv,query_1,Papa Roach,Blood (Empty Promises),"['nu metal', 'rock', 'hard rock', 'alternative rock', 'metal', 'soundtrack', 'metalcore', 'alternative metal']",0.26402374131268735
sdFkhRQdC3Xg9j6R,query_1,Lil Uzi Vert,XO TOUR Llif3,"['emo rap', 'trap', 'emo', 'rap', 'hip hop']",0.2620478889033264
0hi5FGoizAXxin1K,query_1,Ashanti,Focus,"['soul', 'focus', 'pop', 'r b']",0.26150978974092787
J4qqLvEwUxj4SPSK,query_1,Dead Can Dance,Severance,"['ambient', 'world', 'new age', 'rock', 'dark ambient', 'medieval', 'gothic rock', 'neoclassical darkwave', 'folk', 'experimental', 'post rock', 'downtempo', 'new wave', 'blues', 'sleep', 'celtic', 'rain', 'world fusion', 'hurdy gurdy']",0.26121504344855934
W0I0QY8ucb4NcE3y,query_1,Placebo,Haemoglobin,"['alternative rock', 'rock', 'glam rock', 'industrial', 'britpop', 'indie rock', 'classic rock', 'emo', 'british invasion', 'metal', 'punk', 'grunge', 'post rock', 'hard rock', 'techno', 'screamo', 'comedy', 'power metal']",0.2599205818322559
oXpdQJTpASLJfFvM,query_1,En Vogue,Beat of Love,['soul'],0.25750439394207525
tIbkPsg0FcnV4qqX,query_1,Howlin' Wolf,Killing Floor,"['blues', 'chicago blues', 'rhythm and blues', 'classic rock', 'delta blues', 'traditional blues', 'rock', 'folk', 'blues rock', 'southern rock', 'electric blues', 'progressive rock']",0.2568017536152093
